Variant,Antibody,Log_Kd,Log_Kd_SE,Max_Conc
Beta,BP3C5,1.237041447,0.087910832,25
Lambda,BP3C5,0.865405548,0.143565941,25
Delta,BP3C5,1.139766514,0.170355239,25
Wuhan,BP3D5,-0.584330471,0.029655642,25
Beta,BP3D5,0.090578169,0.031729005,25
Lambda,BP3D5,0.114205707,0.029645481,25
Delta,BP3D5,-0.158426646,0.031700042,25
Wuhan,BP3F2,0.317889028,0.05667853,25
Beta,BP3F2,1.504690456,0.034872106,25
Lambda,BP3F2,1.216574208,0.025283576,25
Delta,BP3F2,1.474583181,0.023903579,25
Omicron,BP3F2,1.057037281,0.055331698,10
Wuhan,DP1E5,1.2270397,0.185877646,10
Gamma,DP1E5,0.545277079,0.259921906,10
Delta,DP1E5,1.17579458,0.125170554,10
Omicron,DP1E5,0.842280007,0.08807295,10
Wuhan,DP3C8,0.752994097,0.058100229,10
Gamma,DP3C8,0.766476192,0.048547378,10
Mu,DP3C8,1.001563374,0.142134694,10
Delta,DP3C8,1.07423893,0.078526495,10
Omicron,DP3C8,1.136556322,0.085147209,10
Wuhan,DP4B4,-0.512376381,0.12897393,10
Gamma,DP4B4,-0.69396139,0.088546389,10
Delta,DP4B4,-0.221880688,0.092649751,10
Omicron,DP4B4,0.378313367,0.047374802,10
Wuhan,DP4F2,0.357668104,0.060510451,10
Beta,DP4F2,1.749423966,2.396854656,10
Gamma,DP4F2,1.721968205,0.344791081,10
Mu,DP4F2,1.521497763,0.142377254,10
Lambda,DP4F2,0.680676469,0.07481713,10
Delta,DP4F2,-1.849911626,0.114344804,10
Omicron,DP4F2,1.537652159,0.066443,10
Wuhan,EP1B2,1.160152028,0.329008934,10
Gamma,EP1B2,1.333943895,0.320311568,10
Delta,EP1B2,1.201849229,NA,10
Omicron,EP1B2,1.256391538,0.168293144,10
Wuhan,EP1B6,1.201185153,0.079502278,10
Gamma,EP1B6,1.371566249,0.242269694,10
Delta,EP1B6,1.266216318,0.10050528,10
Omicron,EP1B6,1.133234743,0.078702031,10
Wuhan,EP1F3,0.990781276,0.103798559,10
Gamma,EP1F3,0.973461808,0.148451735,10
Mu,EP1F3,1.504806289,0.292618076,10
Delta,EP1F3,0.272254388,0.086140633,10
Omicron,EP1F3,1.273660097,NA,10
Wuhan,EP1F4,1.349462234,0.134419051,25
Beta,EP1F4,1.191994975,0.161911163,25
Lambda,EP1F4,1.312426807,0.12091189,25
